Recip_County,SVI_CTGY,Metro_status,Census2019
Monongalia,3,1,105612.0
Montgomery,3,0,38338.0
Berkeley,3,1,119171.0
Yadkin,2,1,37667.0
Pike,2,0,18302.0
Eureka,4,0,2029.0
Rappahannock,4,1,7370.0
Brazoria,2,1,374264.0
Trinity,1,0,14651.0
Lowndes,1,1,117406.0
Cabarrus,3,1,216453.0
Charlotte,2,0,11880.0
Carolina Municipio,4,1,146984.0
Crenshaw,2,0,13772.0
Dauphin,3,1,278299.0
Monroe,3,1,170271.0
Denver,3,1,727211.0
McLean,4,0,9450.0
Redwood,4,0,15170.0
Haskell,1,0,5658.0
Naguabo Municipio,3,1,25761.0
Waldo,4,0,39715.0
Baca,2,0,3581.0
Caldwell,2,1,82178.0
Green Lake,3,0,18913.0
Cumberland,2,0,6614.0
Portage,4,1,162466.0
Clinton,2,0,32399.0
Miller,1,1,43257.0
Swisher,1,0,7397.0
Dickinson,4,0,17258.0
Powder River,4,0,1682.0
Gray,3,0,5988.0
Beltrami,1,0,47188.0
Emanuel,1,0,22646.0
Marshall,2,0,34375.0
Union Parish,1,1,22108.0
San Miguel,4,0,8179.0
Bonneville,3,1,119062.0
Cottonwood,3,0,11196.0
Larue,2,1,14398.0
Christian,1,1,70461.0
Colbert,3,1,55241.0
Liberty,1,0,8354.0
Forsyth,2,1,382295.0
Martin,4,0,10255.0
Fountain,4,0,16346.0
Rensselaer,3,1,158714.0
Ste. Genevieve,4,0,17894.0
Henderson,2,0,28117.0
Henry,2,0,32345.0
McDowell,1,0,17624.0
Upshur,2,1,41753.0
Crane,3,0,4797.0
Big Horn,3,0,11790.0
Dooly,1,0,13390.0
Vernon,3,0,30822.0
Ashley,1,0,19657.0
Buchanan,4,0,21175.0
Comal,4,1,156209.0
Hoke,1,1,55234.0
Williamson,4,1,238412.0
Floyd,1,1,98498.0
Highlands,1,1,106221.0
Ponce Municipio,2,1,131881.0
Boone,3,0,37432.0
Sherman,4,0,1780.0
Live Oak,2,0,12207.0
Willacy,1,0,21358.0
Wharton,1,0,41556.0
Wilkinson,1,0,8954.0
Multnomah,3,1,812855.0
Page,3,0,23902.0
Perkins,4,0,2865.0
Spencer,4,0,20277.0
Iowa,4,1,23678.0
Hughes,1,0,13279.0
Sequoyah,1,1,41569.0
Swain,1,0,14271.0
Benton,2,0,19443.0
Saline,3,0,54224.0
Stevens,2,0,5485.0
Roosevelt,1,0,18500.0
Ritchie,3,0,9554.0
Hand,4,0,3191.0
Ellis,3,0,3859.0
Mellette,1,0,2061.0
Eagle,4,0,55127.0
Bamberg,1,0,14066.0
Bland,3,0,6280.0
Clarion,3,0,38438.0
Juncos Municipio,2,1,38155.0
Lyman,2,0,3781.0
Fallon,4,0,2846.0
Brooks,1,1,15457.0
Crowley,1,0,6061.0
Dundy,3,0,1693.0
Izard,2,0,13629.0
Pembina,4,0,6801.0
Belmont,3,1,67006.0
Catoosa,4,1,67580.0
Nemaha,4,0,10231.0
Holt,4,0,4403.0
Gaines,2,0,21492.0
Whatcom,3,1,229247.0
Lafayette Parish,2,1,244390.0
Door,4,0,27668.0
Lawrence,2,1,59463.0
Trumbull,3,1,197974.0
Jefferson Davis,1,0,11128.0
Mills,1,0,4873.0
Grady,3,1,55834.0
Guernsey,2,0,38875.0
Bethel Census Area,1,0,18386.0
Haralson,2,1,29792.0
Tippah,1,0,22015.0
Ventura,3,1,846006.0
Rapides Parish,1,1,129648.0
Hall,2,1,204441.0
Jay,2,0,20436.0
Llano,3,0,21795.0
Passaic,1,1,501826.0
Kosciusko,3,0,79456.0
Wyoming,4,1,26794.0
Grand Isle,4,1,7235.0
Poinsett,1,1,23528.0
Aitkin,3,0,15886.0
Broward,2,1,1952778.0
Brooke,3,1,21939.0
Lyon,4,0,11755.0
Robertson,3,1,71813.0
Montmorency,3,0,9328.0
Ciales Municipio,1,1,15808.0
Dickens,1,0,2211.0
Orange,2,1,1393452.0
Calumet,4,1,50089.0
Bartow,2,1,107738.0
Niobrara,3,0,2356.0
Rock,4,0,9315.0
Orleans,3,0,27037.0
Tripp,3,0,5441.0
Weakley,2,0,33328.0
McHenry,4,1,307774.0
Delta,3,0,35784.0
Macon,1,0,12947.0
Wood,2,0,45539.0
Tyrrell,1,0,4016.0
Platte,4,0,8393.0
Green,2,0,10941.0
Quitman,1,0,2299.0
Trigg,3,1,14651.0
Rio Grande,1,0,11267.0
Pine,3,0,29579.0
Real,2,0,3452.0
Prince George,3,1,38353.0
Anderson,1,0,57735.0
Knox,2,0,3959.0
Hood River,2,0,23382.0
Bee,1,0,32565.0
Chickasaw,4,0,11933.0
Colleton,1,0,37677.0
McIntosh,4,0,2497.0
Susquehanna,4,0,40328.0
Corozal Municipio,1,1,32293.0
Lumpkin,3,0,33610.0
Daviess,3,0,8278.0
Livingston Parish,3,1,140789.0
Hot Springs,4,0,4413.0
Brantley,2,1,19109.0
Motley,2,0,1200.0
Calloway,3,0,39001.0
Orangeburg,1,0,86175.0
Rolette,1,0,14176.0
Lassen,2,0,30573.0
Pittsylvania,2,0,60354.0
Carlton,3,1,35871.0
Renville,4,0,2327.0
